Date,USD,VIX
10/25/1990,375.05,29.04
10/26/1990,373.70,30.75
10/29/1990,372.70,31.54
10/30/1990,373.75,30.52
10/31/1990,379.50,30.04
11/1/1990,380.40,30.25
11/2/1990,377.50,30.03
11/5/1990,376.90,29.85
11/6/1990,379.25,29.11
11/7/1990,385.00,30.87
11/8/1990,384.75,30.79
11/9/1990,385.70,26.96
11/12/1990,380.70,25.60
11/13/1990,383.50,24.58
11/14/1990,383.90,22.89
11/15/1990,378.00,22.57
11/16/1990,376.30,21.34
11/19/1990,377.80,20.95
11/20/1990,380.00,20.09
11/21/1990,377.30,21.09
11/22/1990,380.00,21.09
11/23/1990,383.60,20.98
11/26/1990,386.90,22.76
11/27/1990,383.80,22.86
11/28/1990,385.00,22.96
11/29/1990,386.80,23.91
11/30/1990,384.85,22.16
12/3/1990,380.65,22.29
12/4/1990,377.60,22.03
12/5/1990,376.00,20.94
12/6/1990,370.00,22.62
12/7/1990,370.80,22.59
12/10/1990,374.05,23.58
12/11/1990,372.10,23.75
12/12/1990,370.90,21.28
12/13/1990,372.00,23.05
12/14/1990,373.20,23.85
12/17/1990,376.30,24.85
12/18/1990,377.40,23.11
12/19/1990,378.90,23.08
12/20/1990,385.45,23.13
12/21/1990,383.75,22.66
12/24/1990,383.75,24.03
12/25/1990,383.75,24.03
12/26/1990,383.75,24.18
12/27/1990,382.80,24.81
12/28/1990,386.20,25.05
12/31/1990,386.20,26.38
1/1/1991,386.20,26.38
1/2/1991,390.80,26.62
1/3/1991,386.30,27.93
1/4/1991,387.40,27.19
1/7/1991,391.10,28.95
1/8/1991,389.70,30.38
1/9/1991,387.10,33.30
1/10/1991,390.55,31.33
1/11/1991,390.60,32.63
1/14/1991,398.60,36.20
1/15/1991,398.50,36.16
1/16/1991,403.00,33.20
1/17/1991,379.00,27.45
1/18/1991,378.25,25.39
1/21/1991,378.20,24.33
1/22/1991,381.00,24.90
1/23/1991,378.30,23.92
1/24/1991,373.00,22.86
1/25/1991,374.25,22.20
1/28/1991,374.50,23.05
1/29/1991,376.80,23.17
1/30/1991,367.10,21.37
1/31/1991,366.00,20.91
2/1/1991,364.50,21.04
2/4/1991,367.15,21.86
2/5/1991,366.60,21.46
2/6/1991,360.75,22.68
2/7/1991,363.90,23.60
2/8/1991,370.00,23.38
2/11/1991,366.85,22.56
2/12/1991,364.40,22.26
2/13/1991,366.75,20.86
2/14/1991,368.15,21.48
2/15/1991,365.50,19.57
